tabla,columna,tipo_dato,admite_nulos,es_clave_primaria,registros_tabla,descripcion_negocio,regla_negocio,sensibilidad,origen,linaje,transformacion_aplicada,caso
empleados,nombres,TEXT,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,apellidos,TEXT,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,num_documento,TEXT,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Confidencial,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,cargo,TEXT,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,id_sede,INTEGER,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,correo,TEXT,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Confidencial,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,sueldo,REAL,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
empleados,fecha_ingreso,TEXT,Si,No,40,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.empleados,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
incidencias,id_incidencia,INTEGER,Si,No,160,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.incidencias,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
incidencias,codigo_incidencia,TEXT,Si,No,160,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.incidencias,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
incidencias,id_operacion,INTEGER,Si,No,160,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.incidencias,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
incidencias,tipo_incidencia,TEXT,Si,No,160,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.incidencias,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
incidencias,severidad,TEXT,Si,No,160,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.incidencias,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
incidencias,fecha_reporte,TEXT,Si,No,160,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.incidencias,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
incidencias,estado_incidencia,TEXT,Si,No,160,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.incidencias,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
pagos,id_pago,INTEGER,Si,No,1000,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.pagos,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
pagos,codigo_pago,TEXT,Si,No,1000,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.pagos,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
pagos,id_operacion,INTEGER,Si,No,1000,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.pagos,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
pagos,fecha_pago,TEXT,Si,No,1000,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.pagos,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
pagos,medio_pago,TEXT,Si,No,1000,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.pagos,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
pagos,monto_pagado,REAL,Si,No,1000,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.pagos,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
pagos,estado_pago,TEXT,Si,No,1000,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.pagos,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
productos_servicios,id_producto,INTEGER,Si,No,30,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.productos_servicios,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
productos_servicios,codigo_producto,TEXT,Si,No,30,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.productos_servicios,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
productos_servicios,nombre_producto,TEXT,Si,No,30,Nombre comercial del servicio u hospedaje ofertado por la cadena.,"Texto descriptivo único en el catálogo (ej. 'Habitación Suite', 'Servicio Spa').",Publico,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.productos_servicios,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
productos_servicios,categoria,TEXT,Si,No,30,Clasificación del servicio en el catálogo de la empresa.,"Valores permitidos: Habitación, Restaurante, Spa, Transporte, Eventos.",Publico,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.productos_servicios,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
productos_servicios,precio_base,REAL,Si,No,30,Tarifa estándar por noche de hospedaje o costo unitario del servicio.,Monto numérico estrictamente positivo (> 0) expresado en Soles (PEN).,Publico,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.productos_servicios,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
productos_servicios,activo,INTEGER,Si,No,30,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Publico,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.productos_servicios,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
sedes,id_sede,INTEGER,Si,No,6,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.sedes,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
sedes,codigo_sede,TEXT,Si,No,6,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.sedes,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
sedes,nombre_sede,TEXT,Si,No,6,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.sedes,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
sedes,distrito_sede,TEXT,Si,No,6,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.sedes,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
sedes,responsable,TEXT,Si,No,6,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> Copia directa -> caso_migrado.db.sedes,Sin transformacion: se copio tal cual desde el origen.,05_hotel_andes_stay
ventas_limpia,id_operacion,INTEGER,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,codigo_operacion,TEXT,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,id_cliente,INTEGER,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,id_sede,INTEGER,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,id_empleado,REAL,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,fecha_operacion,TEXT,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,canal,TEXT,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,estado,TEXT,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,monto_total,REAL,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,monto_original,REAL,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,Sin transformacion: se migro tal cual.,05_hotel_andes_stay
ventas_limpia,monto_ajustado,REAL,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,COLUMNA NUEVA creada por el ETL de la S10.,05_hotel_andes_stay
ventas_limpia,monto_fue_ajustado,INTEGER,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,COLUMNA NUEVA creada por el ETL de la S10.,05_hotel_andes_stay
ventas_limpia,cliente_valido,INTEGER,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,COLUMNA NUEVA creada por el ETL de la S10.,05_hotel_andes_stay
ventas_limpia,empleado_valido,INTEGER,Si,No,1010,PENDIENTE DE DOCUMENTAR,PENDIENTE DE DOCUMENTAR,Interno,caso_legacy.db,caso_legacy.db -> ETL Semana 10 -> caso_migrado.db.ventas_limpia,COLUMNA NUEVA creada por el ETL de la S10.,05_hotel_andes_stay
